epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,281.484,2.61295,4.19549,2.55555,0.60494,0.29422,0.45066,0.32451,1.34067,3.56731,1.1314,0.00998294,0.00332765,0.00998294,0.00332765,0.00998294,0.00332765,0.00998294,0.00332765
2,517.974,2.12912,3.07495,2.22028,0.70895,0.51393,0.62643,0.43317,1.38279,3.52947,1.12837,0.0197851,0.00659503,0.0197851,0.00659503,0.0197851,0.00659503,0.0197851,0.00659503
3,742.544,1.93814,2.68292,2.0683,0.69031,0.31561,0.50972,0.31911,1.68134,4.02868,1.24744,0.0293893,0.00979642,0.0293893,0.00979642,0.0293893,0.00979642,0.0293893,0.00979642
4,961.664,1.81767,2.36478,1.84761,0.44526,0.73314,0.70215,0.43039,1.62375,2.98041,1.24431,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1181.09,1.72066,2.17291,1.7279,0.34418,0.7178,0.70394,0.43389,1.56939,3.03141,1.26011,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1400.19,1.65285,2.04719,1.66359,0.31936,0.77203,0.74589,0.44546,1.55466,2.57729,1.2569,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1618.76,1.59177,1.94318,1.61215,0.25475,0.72705,0.60667,0.34038,1.67926,3.19312,1.38029,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1837.69,1.55199,1.89778,1.58294,0.21848,0.85536,0.79759,0.48267,1.44559,2.67383,1.23397,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2056.41,1.51182,1.8324,1.55471,0.35636,0.88768,0.81992,0.52118,1.33994,2.82962,1.18266,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2275.23,1.47628,1.78419,1.53023,0.21985,0.86816,0.7942,0.47548,1.42362,2.45767,1.25255,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2493.91,1.44286,1.72918,1.5045,0.37068,0.86408,0.78912,0.49313,1.33873,2.98761,1.235,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2712.57,1.40905,1.68166,1.48605,0.26912,0.87919,0.84102,0.55864,1.24365,2.34992,1.17985,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2932.08,1.37452,1.64538,1.46546,0.39311,0.88926,0.85979,0.57494,1.19091,2.6592,1.13419,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,3150.04,1.34417,1.59403,1.43869,0.38863,0.87324,0.85275,0.54651,1.26541,2.72371,1.21973,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3368.14,1.31485,1.55156,1.4183,0.34193,0.90101,0.82735,0.55785,1.21812,2.70973,1.20385,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3585.6,1.29229,1.52124,1.40491,0.70503,0.80551,0.83192,0.57197,1.2361,3.27955,1.14618,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3803.43,1.26777,1.4831,1.38477,0.48978,0.89323,0.87309,0.60717,1.14828,2.72088,1.12809,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,4021.2,1.25378,1.45315,1.37818,0.43899,0.88309,0.87835,0.62213,1.09409,2.37161,1.1122,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,4241.01,1.23285,1.42017,1.36489,0.4634,0.8811,0.87504,0.62295,1.08212,2.61971,1.0984,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4459.54,1.21751,1.39987,1.35061,0.61837,0.89453,0.89076,0.61097,1.13851,2.89088,1.13341,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4677.36,1.20457,1.37787,1.34745,0.55916,0.88156,0.8735,0.60738,1.15305,2.8077,1.13293,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4895.04,1.19004,1.36174,1.33118,0.48853,0.8953,0.88337,0.63142,1.05523,2.601,1.1068,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,5112.49,1.18123,1.33462,1.32881,0.53847,0.8696,0.87067,0.62642,1.12235,2.6543,1.12658,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
